,Unnamed: 0,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,EVENT,ENGINES,GRID POS,RACE
197,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Abu Dhabi Grand Prix,Mercedes,1,1.0
198,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Abu Dhabi Grand Prix,Mercedes,20,4.0
199,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Australian Grand Prix,Mercedes,2,1.0
200,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Australian Grand Prix,Mercedes,1,2.0
201,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Bahrain Grand Prix,Mercedes,3,1.0
202,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Bahrain Grand Prix,Mercedes,4,2.0
203,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Chinese Grand Prix,Mercedes,2,1.0
204,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Australian Grand Prix,Mercedes,1,2.0
205,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Australian Grand Prix,Mercedes,15,8.0
206,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Bahrain Grand Prix,Mercedes,3,2.0
207,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Bahrain Grand Prix,Mercedes,9,3.0
208,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Chinese Grand Prix,Mercedes,3,2.0
209,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Chinese Grand Prix,Mercedes,4,4.0
210,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Azerbaijan Grand Prix,Mercedes,2,1.0
211,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Azerbaijan Grand Prix,Mercedes,3,14.0
212,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Spanish Grand Prix,Mercedes,1,1.0
213,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Spanish Grand Prix,Mercedes,2,2.0
214,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Monaco Grand Prix,Mercedes,3,3.0
215,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Monaco Grand Prix,Mercedes,5,5.0
216,5,mercedes,2018,21,11,25,13,10,1,1,655.0,1st,Canadian Grand Prix,Mercedes,2,2.0
